INCIDENT_DATE,TIME_OF_DAY,AIRPORT,STATE,OPERATOR,AIRCRAFT,AC_CLASS,AC_MASS,TYPE_ENG,NUM_ENGS,PHASE_OF_FLIGHT,HEIGHT,SPEED,SKY,DAMAGE_LEVEL,PARTS_STRUCK,PARTS_DAMAGED,ENGINE_INGESTION,SPECIES,SIZE,NUM_STRUCK
2003-04-19,Dawn,BROOKINGS REGIONAL ARPT,SD,GREAT LAKES AIRLINES,BE-1900,airplane,"5,701-27,000 kg",turboprop,2.0,Take-off Run,0.0,80.0,Overcast,Minor,5,1,No,Gulls,Medium,11-100
2003-04-27,Day,MIDLAND INTL,TX,SOUTHWEST AIRLINES,B-737,airplane,"27,001-272,000 kg",turbofan,2.0,Climb,,,,Undetermined,1,1,No,Unknown bird - medium,Medium,1
2002-04-19,,UNKNOWN,,NETJETS,C-560,airplane,"5,701-27,000 kg",turbofan,2.0,,,,,Minor,1,1,No,Unknown bird - medium,Medium,1
2002-11-14,Day,TAMPA INTL,FL,DELTA AIR LINES,B-767-400,airplane,"27,001-272,000 kg",turbofan,2.0,Take-off Run,0.0,100.0,No Cloud,Undetermined,1,1,No,Unknown bird - medium,Medium,1
2002-09-23,,UNKNOWN,,UNITED AIRLINES,B-737-300,airplane,"27,001-272,000 kg",turbofan,2.0,,,,,Minor,1,1,No,Unknown bird - medium,Medium,1
2002-09-11,Day,LAMBERT-ST LOUIS INTL,MO,TRANS WORLD AIRLINES,MD-83,airplane,"27,001-272,000 kg",turbofan,2.0,Approach,,,,Minor,1,1,No,Unknown bird - medium,Medium,1
2002-09-04,Day,LAMBERT-ST LOUIS INTL,MO,TRANS WORLD AIRLINES,MD-82,airplane,"27,001-272,000 kg",turbofan,2.0,Approach,,,,Minor,1,1,No,Unknown bird - small,Small,1
2003-01-17,Night,SACRAMENTO INTL,CA,SOUTHWEST AIRLINES,B-737-300,airplane,"27,001-272,000 kg",turbofan,2.0,Climb,1300.0,200.0,Overcast,Substantial,1,1,No,American wigeon,Medium,1
2003-01-06,Day,MIAMI INTL,FL,BUSINESS,DASSAULT-900,airplane,"5,701-27,000 kg",turbofan,3.0,Approach,1500.0,170.0,No Cloud,Undetermined,1,1,No,Turkey vulture,Large,1
2002-06-18,Day,DALLAS/FORT WORTH INTL ARPT,TX,UPS AIRLINES,A-300,airplane,"27,001-272,000 kg",turbofan,2.0,Approach,3000.0,180.0,No Cloud,Substantial,1,1,No,Unknown bird - large,Large,1
2002-06-28,Day,JOHN WAYNE-ORANGE COUNTY ARPT,CA,AMERICA WEST AIRLINES,B-737-300,airplane,"27,001-272,000 kg",turbofan,2.0,Climb,10.0,145.0,No Cloud,Substantial,3,1,No,Mourning dove,Small,2-10
2002-10-31,Day,READING REGNL ARPT/CARL A SPAATZ FIELD,PA,BUSINESS,DASSAULT-20 FALCON,airplane,"5,701-27,000 kg",turbofan,2.0,Take-off Run,0.0,118.0,Some Cloud,Minor,1,1,No,Ring-billed gull,Medium,1
2002-08-20,,UNKNOWN,,TRANS WORLD AIRLINES,MD-82,airplane,"27,001-272,000 kg",turbofan,2.0,,,,,Minor,1,1,No,Unknown bird - medium,Medium,1
2003-08-15,Day,STOCKTON METRO,CA,BUSINESS,CITATION X,airplane,"5,701-27,000 kg",turbofan,2.0,Landing Roll,0.0,110.0,No Cloud,Minor,1,1,No,Hawks,Medium,1
2002-12-01,,KANSAS CITY INTL,MO,BUSINESS,BE-58 BARON,airplane,"2,251-5,700 kg",reciprocating engine,2.0,Approach,300.0,,,Minor,1,1,No,Unknown bird - medium,Medium,1
2003-08-17,,NASHVILLE INTL,TN,ATLANTIC COAST AIRLINES,DORNIER 328J,airplane,"27,001-272,000 kg",turbofan,2.0,Climb,,,,Minor,1,1,No,Unknown bird - medium,Medium,1
2003-04-23,,UNKNOWN,,NORTHWEST AIRLINES,B-747-400,airplane,"above 272,000 kg",turbofan,4.0,,1500.0,,,Minor,2,2,No,Unknown bird - medium,Medium,1
2002-11-03,Night,UNKNOWN,,AIR MIDWEST,BE-1900,airplane,"5,701-27,000 kg",turboprop,2.0,Approach,800.0,140.0,No Cloud,Minor,1,1,No,Unknown bird - large,Large,1
2002-05-09,Day,DAYTONA BEACH INTL,FL,BUSINESS,C-172,airplane,"2,250 kg or less",reciprocating engine,1.0,Approach,2000.0,105.0,No Cloud,Minor,1,1,No,Turkey vulture,Large,1
2001-11-16,Night,BALTIMORE/WASH INTL THURGOOD MARSHAL ARPT,MD,AMERICA WEST AIRLINES,B-757-200,airplane,"27,001-272,000 kg",turbofan,2.0,Descent,,,No Cloud,Minor,1,1,No,Unknown bird - medium,Medium,1
2001-09-01,,UNKNOWN,,UNITED AIRLINES,A-320,airplane,"27,001-272,000 kg",turbofan,2.0,,,,,Minor,1,1,No,Unknown bird - medium,Medium,1
2002-10-16,Night,MEMPHIS INTL,TN,ABX AIR,DC-9-40,airplane,"27,001-272,000 kg",turbofan,2.0,Approach,1500.0,140.0,No Cloud,Minor,1,1,No,Unknown bird - small,Small,1
2002-10-31,Dusk,LAMBERT-ST LOUIS INTL,MO,AMERICAN AIRLINES,MD-83,airplane,"27,001-272,000 kg",turbofan,2.0,Approach,,,,Undetermined,1,1,No,Unknown bird - medium,Medium,1
2002-04-04,Day,ALBANY INTL,NY,BUSINESS,LEARJET-60,airplane,"2,251-5,700 kg",turbofan,2.0,Climb,2000.0,185.0,Overcast,Minor,1,1,No,Unknown bird - medium,Medium,1
2002-10-03,Night,BALTIMORE/WASH INTL THURGOOD MARSHAL ARPT,MD,SOUTHWEST AIRLINES,B-737-700,airplane,"27,001-272,000 kg",turbofan,2.0,Approach,3000.0,210.0,Some Cloud,Minor,3,1,No,Unknown bird - large,Large,1
2003-05-01,Night,PHOENIX SKY HARBOR INTL ARPT,AZ,AMERICA WEST AIRLINES,B-737-200,airplane,"27,001-272,000 kg",turbofan,2.0,Landing Roll,0.0,,,Undetermined,1,1,No,Unknown bird - medium,Medium,1
2002-02-21,Dusk,PHOENIX SKY HARBOR INTL ARPT,AZ,MESA AIRLINES,BE-1900,airplane,"5,701-27,000 kg",turboprop,2.0,Climb,400.0,,,Substantial,1,1,No,Northern pintail,Medium,1
2002-08-05,Day,PORTLAND INTL (OR),OR,NORTHWEST AIRLINES,B-757-200,airplane,"27,001-272,000 kg",turbofan,2.0,Take-off Run,0.0,,Some Cloud,Substantial,1,1,No,Red-tailed hawk,Medium,1
2002-07-07,Day,UNKNOWN,,AMERICA WEST AIRLINES,B-737-200,airplane,"27,001-272,000 kg",turbofan,2.0,,,,,Undetermined,1,1,No,Mourning dove,Small,1
2002-11-07,Night,HARTSFIELD - JACKSON ATLANTA INTL ARPT,GA,DELTA AIR LINES,MD-88,airplane,"27,001-272,000 kg",turbofan,2.0,Approach,7500.0,210.0,No Cloud,Minor,1,1,No,Unknown bird - medium,Medium,1
2002-06-08,Day,JOHN GLENN COLUMBUS INTL ARPT,OH,NETJETS,C-650,airplane,"5,701-27,000 kg",turbofan,2.0,Climb,10.0,,No Cloud,Minor,2,1,No,Unknown bird - small,Small,1
2002-08-17,,UNKNOWN,,UNITED AIRLINES,A-319,airplane,"27,001-272,000 kg",turbofan,2.0,,,,,Minor,1,1,No,Unknown bird - medium,Medium,1
2001-10-06,Night,UNKNOWN,,BUSINESS,BE-58 BARON,airplane,"2,251-5,700 kg",reciprocating engine,2.0,En Route,6000.0,192.0,No Cloud,Undetermined,2,1,No,Unknown bird - medium,Medium,1
2003-03-07,Night,BIRMINGHAM-SHUTTLESWORTH INTL,AL,SOUTHWEST AIRLINES,B-737-500,airplane,"27,001-272,000 kg",turbofan,2.0,Climb,6000.0,240.0,No Cloud,Minor,1,1,No,Unknown bird - medium,Medium,1
2002-12-20,,GREAT FALLS INTL,MT,BUSINESS,C-402,airplane,"2,251-5,700 kg",reciprocating engine,2.0,Climb,720.0,130.0,No Cloud,Undetermined,1,1,No,Canada goose,Large,2-10
2002-09-07,Dawn,LOUIE ARMSTRONG NEW ORLEANS INTL ARPT,LA,AIR MIDWEST,BE-1900,airplane,"5,701-27,000 kg",turboprop,2.0,Approach,300.0,115.0,Overcast,Undetermined,1,1,No,Blackbirds,Small,1
2002-10-11,Day,FORT LAUDERDALE EXECUTIVE ARPT,FL,PRIVATELY OWNED,PA-23-250,airplane,"2,251-5,700 kg",reciprocating engine,2.0,Approach,1500.0,130.0,Some Cloud,Minor,1,1,No,Peregrine falcon,Medium,1
2002-09-21,Night,JOE FOSS FIELD ARPT,SD,BUSINESS,C-560,airplane,"5,701-27,000 kg",turbofan,2.0,Approach,800.0,190.0,Some Cloud,Substantial,2,1,No,Unknown bird - small,Small,1
2002-07-19,,UNKNOWN,,UNITED AIRLINES,A-319,airplane,"27,001-272,000 kg",turbofan,2.0,,,,,Minor,1,1,No,Unknown bird - medium,Medium,1
2002-10-31,,KANSAS CITY INTL,MO,UNITED AIRLINES,B-737-300,airplane,"27,001-272,000 kg",turbofan,2.0,Approach,,,,Minor,1,1,No,Snow goose,Large,1
2003-02-27,,UNKNOWN,,UNITED AIRLINES,A-320,airplane,"27,001-272,000 kg",turbofan,2.0,,,,,Minor,1,1,No,Unknown bird - medium,Medium,1
2002-08-13,,UNKNOWN,,UNITED AIRLINES,B-737-300,airplane,"27,001-272,000 kg",turbofan,2.0,,,,,Minor,1,1,No,Unknown bird - medium,Medium,2-10
2001-09-08,Dusk,UNKNOWN,,GOVERNMENT,HUGHES 500,helicopter,"2,250 kg or less",turboshaft,1.0,En Route,650.0,90.0,No Cloud,Minor,1,1,No,Gulls,Medium,1
2003-05-01,Day,GROTON-NEW LONDON AR,CT,FLEXJET,LEARJET-60,airplane,"2,251-5,700 kg",turbofan,2.0,Take-off Run,0.0,,Overcast,Minor,1,1,No,Herring gull,Medium,2-10
2002-11-19,Day,NASHVILLE INTL,TN,SOUTHWEST AIRLINES,B-737-300,airplane,"27,001-272,000 kg",turbofan,2.0,Take-off Run,0.0,110.0,Some Cloud,Undetermined,1,1,No,Unknown bird - medium,Medium,2-10
2002-11-12,Day,ROANOKE REGNL ARPT/WOODRUM FIELD,VA,ATLANTIC SOUTHEAST,EMB-120,airplane,"5,701-27,000 kg",turboprop,2.0,Approach,1000.0,150.0,Overcast,Minor,1,1,No,Unknown bird - large,Large,1
2002-08-05,Day,EXECUTIVE ARPT,FL,BUSINESS,PA-28,airplane,"2,250 kg or less",reciprocating engine,1.0,Approach,900.0,100.0,No Cloud,Minor,2,1,No,Unknown bird - medium,Medium,1
2002-02-02,Dawn,WESTCHESTER COUNTY ARPT,NY,ATLANTIC SOUTHEAST,CRJ100/200,airplane,"5,701-27,000 kg",turbofan,2.0,Take-off Run,0.0,115.0,Some Cloud,Undetermined,1,1,No,European starling,Small,2-10
2003-03-24,Day,DEKALB-PEACHTREE ARPT,GA,PRIVATELY OWNED,PA-28,airplane,"2,250 kg or less",reciprocating engine,1.0,Climb,2000.0,110.0,No Cloud,Minor,1,1,No,Unknown bird - large,Large,1
2004-03-23,,SACRAMENTO INTL,CA,UNITED AIRLINES,A-319,airplane,"27,001-272,000 kg",turbofan,2.0,Approach,,,,Minor,1,1,No,Ducks,Medium,1
2002-09-28,Day,UNKNOWN,,1US AIRWAYS,B-737-300,airplane,"27,001-272,000 kg",turbofan,2.0,,,,No Cloud,Minor,1,1,No,Unknown bird - medium,Medium,1
2002-07-09,Dusk,UNKNOWN,,GOVERNMENT,PA-23-250,airplane,"2,251-5,700 kg",reciprocating engine,2.0,En Route,200.0,150.0,Some Cloud,Minor,2,2,No,Anhinga,Medium,2-10
2002-05-15,,UNKNOWN,,UNITED AIRLINES,B-737-300,airplane,"27,001-272,000 kg",turbofan,2.0,,,,,Substantial,1,1,No,Unknown bird - medium,Medium,1
2002-03-09,Day,WASHINGTON DULLES INTL ARPT,DC,ATLANTIC COAST AIRLINES,CRJ100/200,airplane,"5,701-27,000 kg",turbofan,2.0,Take-off Run,0.0,120.0,Overcast,Substantial,4,4,No,Wild turkey,Large,2-10
2002-12-18,Day,NAPA COUNTY ARPT,CA,BUSINESS,C-172,airplane,"2,250 kg or less",reciprocating engine,1.0,Landing Roll,0.0,59.0,Some Cloud,Undetermined,4,2,No,Rock pigeon,Small,11-100
2002-10-06,Night,SALT LAKE CITY INTL,UT,SKYWEST AIRLINES,CRJ100/200,airplane,"5,701-27,000 kg",turbofan,2.0,Approach,1600.0,140.0,No Cloud,Substantial,7,4,No,Canada goose,Large,2-10
2002-10-29,Day,JOHN F KENNEDY INTL,NY,ATLANTIC SOUTHEAST,CRJ100/200,airplane,"5,701-27,000 kg",turbofan,2.0,Climb,2000.0,,No Cloud,Substantial,1,1,No,Canada goose,Large,2-10
2002-09-04,Day,MANLEY HOT SPRINGS ARPT,AK,BUSINESS,PA-32,airplane,"2,250 kg or less",reciprocating engine,1.0,Climb,15.0,80.0,Overcast,Substantial,1,1,No,Canada goose,Large,2-10
2002-11-22,Day,BOISE AIR TERMINAL/GOWEN FIELD,ID,NORTHWEST AIRLINES,A-319,airplane,"27,001-272,000 kg",turbofan,2.0,Climb,,,,Substantial,1,1,No,Unknown bird - medium,Medium,1
2002-10-06,Night,UNKNOWN,,GREAT LAKES AIRLINES,BE-1900,airplane,"5,701-27,000 kg",turboprop,2.0,,,,,Minor,1,1,No,Unknown bird - small,Small,1
2002-08-27,Night,UNKNOWN,,ABX AIR,DC-9-30,airplane,"27,001-272,000 kg",turbofan,2.0,,,,Some Cloud,Minor,1,1,No,Unknown bird - medium,Medium,1
2003-03-24,Night,WICHITA DWIGHT D EISENHOWER NATL ARPT,KS,PRIVATELY OWNED,C-208,airplane,"2,251-5,700 kg",turboprop,1.0,Approach,700.0,100.0,No Cloud,Minor,2,1,No,Unknown bird - large,Large,1
2003-02-04,,UNKNOWN,,ABX AIR,B-767-200,airplane,"27,001-272,000 kg",turbofan,2.0,,,,,Minor,1,1,No,Unknown bird - medium,Medium,1
2002-09-03,Night,UNKNOWN,,BUSINESS,EUROCOPTER BK 117,helicopter,"2,251-5,700 kg",turboshaft,2.0,En Route,1300.0,125.0,No Cloud,Minor,1,1,No,Red-shouldered hawk,Medium,1
2002-11-17,Night,LOS ANGELES INTL,CA,MEXICANA,B-757-200,airplane,"27,001-272,000 kg",turbofan,2.0,Climb,,,No Cloud,Substantial,1,1,No,Unknown bird - medium,Medium,1
2002-10-27,Day,DENVER INTL AIRPORT,CO,UNITED AIRLINES,B-757-200,airplane,"27,001-272,000 kg",turbofan,2.0,Landing Roll,0.0,,,Minor,1,1,No,Unknown bird - large,Large,1
2002-02-02,,SAN FRANCISCO INTL ARPT,CA,UNITED AIRLINES,B-767-200,airplane,"27,001-272,000 kg",turbofan,2.0,Take-off Run,0.0,,,Minor,1,1,No,Unknown bird - medium,Medium,1
2002-09-06,Night,CHARLOTTESVILLE-ALBEMARLE ARPT,VA,PIEDMONT AIRLINES,DHC8 DASH 8,airplane,"5,701-27,000 kg",turboprop,2.0,Landing Roll,0.0,,,Minor,2,2,No,Unknown bird - medium,Medium,1
2002-06-12,Day,JOHNSON COUNTY EXECUTIVE ARPT,KS,BUSINESS,C-310,airplane,"2,251-5,700 kg",reciprocating engine,2.0,Approach,,,,Minor,1,1,No,Unknown bird - medium,Medium,1
2003-04-01,Day,CHICAGO EXECUTIVE ARPT,IL,BUSINESS,C-560,airplane,"5,701-27,000 kg",turbofan,2.0,Landing Roll,0.0,120.0,No Cloud,Undetermined,1,1,No,Canada goose,Large,1
2002-06-05,Day,WILLIAM P HOBBY ARPT,TX,SOUTHWEST AIRLINES,B-737-200,airplane,"27,001-272,000 kg",turbofan,2.0,Take-off Run,0.0,20.0,Some Cloud,Substantial,1,1,No,Hawks,Medium,1
2003-08-09,Night,LITCHFIELD MUNICIPAL,IL,PRIVATELY OWNED,PA-32,airplane,"2,250 kg or less",reciprocating engine,1.0,Landing Roll,0.0,40.0,No Cloud,Substantial,3,2,No,White-tailed deer,Large,1
2002-11-26,Night,BALTIMORE/WASH INTL THURGOOD MARSHAL ARPT,MD,AMERICAN AIRLINES,B-757-200,airplane,"27,001-272,000 kg",turbofan,2.0,Landing Roll,0.0,,Overcast,Minor,2,1,No,White-tailed deer,Large,1
2002-12-11,Night,UNKNOWN,,GREAT LAKES AIRLINES,BE-1900,airplane,"5,701-27,000 kg",turboprop,2.0,En Route,4700.0,220.0,No Cloud,Undetermined,2,2,No,Unknown bird - large,Large,2-10
2002-11-12,Night,MINOT INTL AIRPORT,ND,BUSINESS,BE-90 KING,airplane,"2,251-5,700 kg",turboprop,2.0,Approach,1500.0,180.0,No Cloud,Undetermined,8,4,No,Canada goose,Large,2-10
2002-09-25,,KANSAS CITY INTL,MO,UNITED AIRLINES,B-737-500,airplane,"27,001-272,000 kg",turbofan,2.0,Landing Roll,0.0,,,Minor,2,1,No,Unknown bird - medium,Medium,1
2003-05-06,Day,NORFOLK INTL,VA,UNKNOWN,C-210 CENTURION,airplane,"2,250 kg or less",reciprocating engine,1.0,Climb,300.0,110.0,No Cloud,Minor,1,1,No,Gulls,Medium,1
2002-09-10,Day,JACKSON EVERS INTL,MS,MESABA AIRLINES,BA-AVRO-146-RJ85,airplane,"27,001-272,000 kg",turbofan,4.0,Approach,1500.0,,No Cloud,Undetermined,1,1,No,Unknown bird - large,Large,1
2003-05-08,Day,UNKNOWN,,SOUTHWEST AIRLINES,B-737-300,airplane,"27,001-272,000 kg",turbofan,2.0,,,,Some Cloud,Undetermined,1,1,No,Unknown bird - medium,Medium,1
2002-09-27,Day,UNKNOWN,,PRIVATELY OWNED,C-182,airplane,"2,250 kg or less",reciprocating engine,1.0,En Route,,,,Undetermined,1,1,No,American coot,Medium,1
2001-12-08,Day,MEMPHIS INTL,TN,PRIVATELY OWNED,PA-28,airplane,"2,250 kg or less",reciprocating engine,1.0,Approach,2000.0,120.0,Some Cloud,Undetermined,1,1,No,Unknown bird - large,Large,1
2002-07-27,Night,CUYAHOGA COUNTY ARPT,OH,FLIGHT OPTIONS,BA-125-700,airplane,"5,701-27,000 kg",turbofan,2.0,Landing Roll,0.0,,,Minor,1,1,No,Foxes,Large,1
2003-07-15,Night,ORLANDO INTL,FL,FRONTIER AIRLINES,A-319,airplane,"27,001-272,000 kg",turbofan,2.0,Approach,,,Some Cloud,Substantial,1,1,No,Unknown bird - small,Small,1
2002-09-30,Day,WAUKEGAN REGIONAL ARPT,IL,BUSINESS,DASSAULT-50 FALCON,airplane,"5,701-27,000 kg",turbofan,3.0,Climb,4000.0,250.0,No Cloud,Minor,1,1,No,Unknown bird - medium,Medium,1
2002-07-30,,UNKNOWN,,UNITED AIRLINES,B-757-200,airplane,"27,001-272,000 kg",turbofan,2.0,,,,,Substantial,1,1,No,Unknown bird - medium,Medium,1
2002-09-11,,UNKNOWN,,UNITED AIRLINES,A-320,airplane,"27,001-272,000 kg",turbofan,2.0,,,,,Minor,1,1,No,Unknown bird - medium,Medium,1
2002-06-18,Day,JOHN F KENNEDY INTL,NY,EVERGREEN INTL AIRLINES,B-747-1/200,airplane,"above 272,000 kg",turbofan,4.0,Take-off Run,0.0,,No Cloud,Minor,1,1,No,Red-tailed hawk,Medium,1
2003-01-14,Day,SACRAMENTO EXECUTIVE ARPT,CA,PRIVATELY OWNED,MOONEY-20K,airplane,"2,250 kg or less",reciprocating engine,1.0,Approach,900.0,,Overcast,Undetermined,3,2,No,Northern pintail,Medium,2-10
2003-01-02,Day,HARTSFIELD - JACKSON ATLANTA INTL ARPT,GA,DELTA AIR LINES,B-767-300,airplane,"27,001-272,000 kg",turbofan,2.0,Climb,800.0,165.0,No Cloud,Undetermined,1,1,No,Hawks,Medium,1
2002-10-27,Night,NEWARK LIBERTY INTL ARPT,NJ,AMERICAN EAGLE AIRLINES,EMB-135,airplane,"5,701-27,000 kg",turbofan,2.0,Approach,5000.0,240.0,No Cloud,Undetermined,7,4,No,American robin,Small,2-10
2002-08-09,Dusk,BIRMINGHAM-SHUTTLESWORTH INTL,AL,SOUTHWEST AIRLINES,B-737-300,airplane,"27,001-272,000 kg",turbofan,2.0,Take-off Run,0.0,100.0,Some Cloud,Undetermined,1,1,No,Unknown bird - medium,Medium,1
2002-11-06,Day,JOHN C TUNE ARPT,TN,BUSINESS,LEARJET-35,airplane,"5,701-27,000 kg",turbofan,2.0,Climb,10.0,150.0,Overcast,Substantial,4,2,No,Mourning dove,Small,11-100
2003-03-23,Night,LA GUARDIA ARPT,NY,ALLEGHENY AIRLINES,DHC8 DASH 8,airplane,"5,701-27,000 kg",turboprop,2.0,Approach,500.0,120.0,No Cloud,Undetermined,1,1,No,Unknown bird - large,Large,2-10
2003-03-09,Night,LAKEFRONT AIRPORT,LA,BUSINESS,PA-34 SENECA,airplane,"2,250 kg or less",reciprocating engine,2.0,Approach,800.0,120.0,No Cloud,Substantial,1,1,No,Red-breasted merganser,Medium,2-10
2002-10-11,,BALTIMORE/WASH INTL THURGOOD MARSHAL ARPT,MD,AMERICAN AIRLINES,B-737,airplane,"27,001-272,000 kg",turbofan,2.0,Climb,,,,Minor,1,1,No,Unknown bird - medium,Medium,1
2002-10-25,Day,MORGANTOWN MUNICIPAL ARPT-WALTER L. BILL HART FIELD,WV,BUSINESS,BE-200 KING,airplane,"2,251-5,700 kg",turboprop,2.0,Climb,,,Some Cloud,Undetermined,1,1,No,Unknown bird - medium,Medium,1
2003-01-09,,UNKNOWN,,GOVERNMENT,AVIAT HUSKY A-1,airplane,"2,250 kg or less",reciprocating engine,1.0,En Route,100.0,65.0,,Minor,1,1,No,Greater sage-grouse,Large,1
2002-11-13,Day,REPUBLIC AIRPORT,NY,BUSINESS,LEARJET-55,airplane,"5,701-27,000 kg",turbofan,2.0,Climb,50.0,131.0,Overcast,Minor,1,1,No,Gulls,Medium,1
2003-05-29,,UNKNOWN,,ALASKA CENTRAL EXPRESS,BE-1900,airplane,"5,701-27,000 kg",turboprop,2.0,,,,Some Cloud,Minor,1,1,No,Unknown bird - medium,Medium,1
2002-09-30,,UNKNOWN,,BUSINESS,C-560,airplane,"5,701-27,000 kg",turbofan,2.0,,,,,Minor,1,1,No,Unknown bird - medium,Medium,1
2002-11-17,Dusk,PALM BEACH INTL,FL,BUSINESS,DASSAULT-900,airplane,"5,701-27,000 kg",turbofan,3.0,Approach,500.0,,Some Cloud,Minor,1,1,No,Turkey vulture,Large,1
2002-08-30,Dawn,MEADOW LAKE ARPT,CO,BUSINESS,C-172,airplane,"2,250 kg or less",reciprocating engine,1.0,Take-off Run,0.0,55.0,No Cloud,Undetermined,1,1,No,Pronghorn,Large,1
2003-02-16,Night,SALT LAKE CITY INTL,UT,DELTA AIR LINES,MD-90-30,airplane,"27,001-272,000 kg",turbofan,2.0,Approach,1700.0,150.0,Some Cloud,Minor,5,1,No,Unknown bird - medium,Medium,2-10
2002-10-12,Day,UNKNOWN,,1US AIRWAYS,B-757-200,airplane,"27,001-272,000 kg",turbofan,2.0,,,,Overcast,Minor,1,1,No,Unknown bird - medium,Medium,1
2004-03-28,Day,UNKNOWN,,UNKNOWN,MOONEY-20K,airplane,"2,250 kg or less",reciprocating engine,1.0,En Route,,,Some Cloud,Substantial,1,1,No,Unknown bird - large,Large,1
2004-05-14,Day,LAKE IN THE HILLS,IL,BUSINESS,DASSAULT-10 FALCON,airplane,"5,701-27,000 kg",turbofan,2.0,Landing Roll,0.0,60.0,Overcast,Undetermined,1,1,No,Canada goose,Large,1
2003-05-01,Night,UNKNOWN,,AIR MIDWEST,BE-1900,airplane,"5,701-27,000 kg",turboprop,2.0,En Route,,,Overcast,Minor,1,1,No,Unknown bird - medium,Medium,1
2003-02-19,Day,PAGE FIELD ARPT,FL,BUSINESS,LEARJET-31,airplane,"2,251-5,700 kg",turbofan,2.0,Climb,1000.0,,Some Cloud,Undetermined,2,2,No,Brown pelican,Large,1
2002-10-16,Day,ATLANTIC CITY INTL,NJ,BUSINESS,CITATION X,airplane,"5,701-27,000 kg",turbofan,2.0,Climb,,,Overcast,Undetermined,1,1,No,Gulls,Medium,1
2003-01-27,Day,EXECUTIVE ARPT,FL,BUSINESS,BE-95,airplane,"2,250 kg or less",reciprocating engine,2.0,Approach,2000.0,120.0,No Cloud,Undetermined,1,1,No,Turkey vulture,Large,1
2003-04-26,,UNKNOWN,,UNITED AIRLINES,A-320,airplane,"27,001-272,000 kg",turbofan,2.0,,,,,Minor,1,1,No,Unknown bird - medium,Medium,1
2002-08-26,Day,WILKES-BARRE/SCRANTON INTL,PA,ATLANTIC COAST AIRLINES,CRJ100/200,airplane,"5,701-27,000 kg",turbofan,2.0,Climb,,,,Substantial,1,1,No,Unknown bird - medium,Medium,1
2003-04-19,Night,SALT LAKE CITY INTL,UT,SKYWEST AIRLINES,CRJ100/200,airplane,"5,701-27,000 kg",turbofan,2.0,Approach,400.0,145.0,Some Cloud,Minor,1,1,No,American coot,Medium,2-10
2003-09-14,Night,WINCHESTER REGIONAL ARPT,VA,PRIVATELY OWNED,CIRRUS SR 20/22,airplane,"2,250 kg or less",reciprocating engine,1.0,Landing Roll,0.0,70.0,Overcast,Substantial,2,2,No,White-tailed deer,Large,1
2002-10-16,Night,NEWARK LIBERTY INTL ARPT,NJ,FEDEX EXPRESS,MD-11,airplane,"27,001-272,000 kg",turbofan,3.0,Approach,150.0,165.0,No Cloud,Minor,1,1,No,Unknown bird - medium,Medium,1
2003-04-02,Dusk,EXECUTIVE ARPT,FL,GOVERNMENT,C-172,airplane,"2,250 kg or less",reciprocating engine,1.0,Approach,1500.0,120.0,No Cloud,Minor,4,3,No,Gulls,Medium,2-10
2003-11-01,Night,GUARULHOS INTL,FN,UNITED AIRLINES,B-767-300,airplane,"27,001-272,000 kg",turbofan,2.0,Take-off Run,0.0,,,Substantial,1,1,No,Southern lapwing,Small,1
2003-04-14,Day,UNKNOWN,,BUSINESS,C-207,airplane,"2,250 kg or less",reciprocating engine,1.0,En Route,550.0,125.0,Overcast,Minor,2,1,No,Unknown bird - medium,Medium,2-10
2002-12-03,Day,WITHAM FIELD ARPT,FL,BUSINESS,PA-28,airplane,"2,250 kg or less",reciprocating engine,1.0,Climb,20.0,80.0,Some Cloud,Minor,2,1,No,Egrets,Medium,2-10
2002-10-19,Day,GRANT COUNTY ARPT,WA,JAPAN AIRLINES,B-747-400,airplane,"above 272,000 kg",turbofan,4.0,Approach,400.0,150.0,No Cloud,Substantial,1,1,No,White-tailed kite,Small,1
2003-03-23,,UNKNOWN,,UNITED AIRLINES,B-757-200,airplane,"27,001-272,000 kg",turbofan,2.0,,,,,Minor,2,2,No,Unknown bird - medium,Medium,1
2002-09-14,Day,UNKNOWN,,"PHI AVIATION, LLC",BELL-206,helicopter,"2,250 kg or less",turboshaft,1.0,En Route,900.0,110.0,Overcast,Minor,1,1,No,Unknown bird - small,Small,2-10
2002-11-02,,PUERTO VALLARTA,FN,AMERICA WEST AIRLINES,B-737-300,airplane,"27,001-272,000 kg",turbofan,2.0,Approach,1500.0,141.0,Some Cloud,Minor,1,1,No,Peregrine falcon,Medium,1
2004-03-05,Night,LEESBURG EXECUTIVE ARPT,VA,BUSINESS,BE-400 BJET,airplane,"2,251-5,700 kg",turbofan,2.0,Landing Roll,0.0,90.0,No Cloud,Minor,5,4,No,White-tailed deer,Large,1
2003-04-24,Night,CAPITAL REGION INTL ARPT,MI,BUSINESS,PA-28,airplane,"2,250 kg or less",reciprocating engine,1.0,Approach,1000.0,120.0,Some Cloud,Minor,2,1,No,Unknown bird - medium,Medium,2-10
2002-09-04,Dusk,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,KY,PSA AIRLINES,DORNIER 328,airplane,"5,701-27,000 kg",turboprop,2.0,Approach,1000.0,220.0,Some Cloud,Minor,1,1,No,Mourning dove,Small,1
